Português,Espanhol,Warao,,Contexto/categoria
Preciso,Necesito,Obonoya Necesito,,Para alugar uma casa
Atacado,Por mayor,Amuara iridaja,,Comprar ou vender
Mercearia,Paquetería,Najoro anoko,,Comprar ou vender
Mercado,Mercado,Najoro awabinoko,,Comprar ou vender
Shopping,Centro Comercial / Mal / Shopping,Wabinoko iridaja Centro Comercial/mal/shopping,,Comprar ou vender
Cozinhar,Cocinar,Jisabakitane Cocinar,,Comida
Coar o café,Colar café,Ana nisakitane,,Comida
Comer,Comer,Najorokitane,,Comida
Café da manhã,Desayunar,Aniako najorokitane,,Refeição
Almoço,Almuerzo,Anakuarika najorokitane,,Refeição
Jantar,Cena,Imaya najorokitane,,Refeição
Cebola,Cebolla,Cebolla,,Comida
Cenoura,Zanahoria,Zanahoria,,Comida
Milho,Maíz,Naukamo,,Comida
Fruta,Fruta,Akuaja,,Comida
Laranja,Naranja,Naranja,,Comida
Abacaxi,Piña,Nana,,Comida
Tempero,Condimento,Aliño,,Comida
Molho,Salsa,Najoro ajo,,Comida
Arroz,Arroz,Arroz,,Comida
Feijão,Frijoles / Porotos,Frijoles,,Comida
Sal,Sal,Bamu,,Comida
Açúcar,Azúcar,Sikaro ajo,,Comida
Azeite,Aceite,Toi,,Comida
Peixe,Pescado,Jomakaba Pescado,,Comida
Carne,Carne,Toma Carne,,Comida
Carne de boi,Carne roja o vacuno,Vaca a toma,,Comida
Porco,Puerco/Cerdo /Chancho,Kosi,,Comida
Frango/Galinha,Pollo/Gallina,Karina,,Comida
Asa,Ala,Awiji,,Comida
Coxa,Muslo,Karina awijiwitu,,Comida
Miudezas,Menudencias,Toma a kari,,Comida
Água,Agua,Jo,,Comida
Comida,Comida,Najoro,,Comida
Suco,Zumo o jugo,Jo adiaba,,Comida
Refrigerante,Gaseosa o refresco,Ajaka a Jo,,Comida
Lanche,Merienda,Najorokitane,,Refeição
Ovo,Huevo,Karina ai,,Comida
Pão,Pan,Arukobo,,Comida
Farinha,Harina,Aru,,Comida
Batata,Papa,Orere,,Comida
Prato,Plato,Boroma basa,,Objetos e mobília da casa
Prato fundo,Plato hondo,Boroma toro,,Objetos e mobília da casa
Colher,Cuchara,Yarakoina,,Objetos e mobília da casa
Garfo,Tenedor,Yarokoina jarajara,,Objetos e mobília da casa
Faca,Cuchillo,Dabo,,Objetos e mobília da casa
Copo,Vaso,Jobikoina,,Objetos e mobília da casa
Xícara,Taza,Boroma,,Objetos e mobília da casa
Panela,Olla,Joru,,Objetos e mobília da casa
Frigideira,Sartén,Oto,,Objetos e mobília da casa
Panela de pressão,Olla a presión,Joru sabanoko iridaja,,Objetos e mobília da casa
Fogão,Cocina,Sabakitane,,Objetos e mobília da casa
Geladeira,Heladera o refrigerador,Daita abanoko,,Objetos e mobília da casa
Forno,Horno,Sabanoko ijidaja,,Objetos e mobília da casa
Pia,Fregadero  / Pileta,Boroma tuma ajuaranoko ,,Objetos e mobília da casa
Avião,Avión,Kuaya kujunoko,,Transporte
Barco,Barco,Nabaida akujunoko,,Transporte
Canoa,Canoa,Wajibaka,,Transporte
Ônibus,Ómnibus / Colectivo,Ji barabara aida,,Transporte
Táxi,Taxi,Dubujida akujunoko,,Transporte
Motocicleta,Motocicleta,Barabara akujunoko,,Transporte
Carro,Auto / Coche,Boto jebutanoko,,Transporte
Passagem,Pasaje,Amuara isiko,,Transporte
Porto,Puerto,Nabakanoko,,Transporte
Aeroporto,Aeropuerto,Kuaya anabakanoko,,Transporte
Sabonete,Jabón,Jabona,,Higiene
Água sanitária,Desinfectante,Boto jarakoina,,Higiene
Pano,Paño,Juaika aberekoina,,Higiene
Fazer faxina,Hacer limpieza,Boto webotakitane,,Higiene
Varrer,Barrer,Bere,,Higiene
Lavar,Lavar,Jarau,,Higiene
Lavar a louça,Lava los platos,Mojo jarakoina,,Higiene
Lavar roupa,Lavar Ropa,Jiyaka jarau,,Higiene
Escova de dente,Cepillo de dientes,Ai jaranoko,,Higiene
Creme dental / Dentífrico,Wäntanatö,Ai daita ajuaranoko,,Higiene
Absorvente / modess,Toalla higiénica,Jotu anoko,,Higiene
Gillette,Gillete,Kabaja aberekoina,,Higiene
Tesoura,Tijera,Karata akabata,,Higiene
Limpo(Limpa),Limpio (Limpia),Boto ekida,,Higiene
Limpar,Limpiar,Boto berekitane,,Higiene
Quinzena,Quinzena,Yaota mojoreku arai Mojabasi,,Trabalho
Pedreiro,Albañil,Yaotatu,,Profissão
Mestre de obras,Capataz de obra,Nona nonakitane,,Profissão
Consertos,Arreglos,Yakera abanu,,Profissão
Professor de língua,Profesor de lengua,Inaminatu ajono,,Profissão
Mêcanico,Mecánico,Yaota anaminatu,,Profissão
Informática,Informática,Warakitane,,Profissão
Computador,Ordenador / Computadora,Yakeraja abameoroi,,Profissão
Enfermeira,Enfermero,Ibiji ayaotatu,,Profissão
Cozinheira,Cocinera,Jisabatu,,Profissão
Faxineiro,Personal de limpieza,Warao kobotu berekitane,,Profissão
Cabelereiro,Peluquero,Jio akabata,,Profissão
Vigia,Guardia,Jebura a yaotatu,,Profissão
Marceneiro,Capintero,Daju ayaotatu,,Profissão
Motoqueiro,Motociclista,Ji barabara akujunoko,,Profissão
Motorista,Conductor  / Chofer,Ji barabara ayaotatu,,Profissão
Igreja,Iglesia,Dioso a janoko,,Religião
A Bíblia,La Biblia,Dioso akarata aribu,,Religião
Cristão (Cristã),Cristiano (Cristiana),Dioso anobotomo/Kirito,,Religião
Evangélica (Evangélico),Evangélica (Evangélico),Dioso aribu warayakotai,,Religião
Católica (Católica),Católico (Católica),Dioso nomeabatu,,Religião
Padre,Padre / Cura,Bare,,Religião
Freira,Monja,Bare tida,,Religião
Irmão,Hermano,Daje,,Religião
Irmã,Hermana,Daiba,,Religião
Candomblé,Candomblé,Jebu sabana narumoroi,,Religião
Pai de santo,Padre de santo,Dibu bare aresetatu ,,Religião
Mãe de santo,Madre de santo,Dibu bare tida aresetatu ,,Religião
Orixá,Orixá,Dioso,,Religião
Pronto socorro,Urgente,Dubujida,,Saúde
Doutor (Doutora),Doctor (Doctora),Wisidatu jotarao,,Saúde
Enfermeiro (Enfermeira),Enfermero (Enfermera),Ibiji ayaotatu,,Saúde
Posto de saúde,Consultorio,Wabamo akarata anisanoko,,Saúde
Farmácia,Farmacia,Ibiji ajanoko,,Saúde
Exame,Examen,Jotu nisanoko,,Saúde
Remédio,Remedio,Ibiji/yarokota,,Saúde
Soro,Suero,Jo ayarokota,,Saúde
Comprimido / Pastilla / Píldora,Tuñë,Ibiji ,,Saúde
Agendar,Agendar,Yaja assinaria abakitane,,Saúde
Vacina,Vacuna,Natikitane,,Saúde
Grávida,Embarazada,Kuabu,,Saúde
Menstruação,Menstruación,Najimae,,Saúde
Camisinha,Condón o Preservativo,Oriyaoro kuabu ejebonaka takitane,,Saúde
HIV (AIDS),SIDA,Jebu sabana,,Saúde
Micose,Micosis,Jebu sabana Amajatu,,Saúde
Desmaiar,Desmayar,Sinakae,,Saúde
Dor cabeça,Dolor de Cabeza,Akua ajera,,Saúde
Dor de barriga,Dolor de barriga,Kobe ajera,,Saúde
Dor nas costas,Dolor de espalda,Bamujo araya ajera,,Saúde
Dor nos rins,Dolor de riñones,Jibo ajanakana ekuya ajera,,Saúde
Febre,Fiebre,Diara,,Saúde
Dor de cabeça,Dolor de cabeza,Akua ajera,,"Na consulta, no hospital, ou na conversa com profissionais de saúde"
Dor no dente,Dolor de muela,Ai ajera,,"Na consulta, no hospital, ou na conversa com profissionais de saúde"
Dor no olho,Dolor de ojo,Amu ajera,,"Na consulta, no hospital, ou na conversa com profissionais de saúde"
Os rins,Los Riñones,Jibo anoko,,Parte do corpo
Vagina,La vagina,Noboto anakana,,Parte do corpo
Pênis,Pene,Wata,,Parte do corpo
As pernas,Las piernas,Waraotuma omu,,Parte do corpo
Os joelhos,Los tobillos,Omuru,,Parte do corpo
O pé,El pie,Omu,,Parte do corpo
Sangue,Sangre,Jotu,,Parte do corpo
A cabeça,La cabeza,Akua,,Parte do corpo
O cabelo,Cabello / El pelo,Warao aji,,Parte do corpo
A pele,La piel,Warao ajoro,,Parte do corpo
O rosto,El rostro,Warao amojoro,,Parte do corpo
O pescoço,El cuello,Aru bumu,,Parte do corpo
A barriga,La barriga,Warao akobe,,Parte do corpo
Os seios,Los senos,Warao amiajo,,Parte do corpo
O peito,El pecho,Warao amejo,,Parte do corpo
As costas,La espalda,Warao arai,,Parte do corpo
O braço,El brazo,Warao ajara,,Parte do corpo
A mão,La mano,Warao amojo,,Parte do corpo
Os dedos,Los dedos,Warao amojo amuju,,Parte do corpo
Ligar,Llamar,Yejebukitane,,Verbos importantes
Fazer,Hacer,Nonakitane,,Verbos importantes
Comer,Comer,Najorokitane,,Verbos importantes
Beber,Beber o tomar,Jobikitane,,Verbos importantes
Caminhar,Caminar,Naru,,Verbos importantes
Sentar,Sentar(se),Duanu,,Verbos importantes
Ficar,Quedar(se),Bajinu,,Verbos importantes
Ir,Ir,Naru,,Verbos importantes
Comprar,Comprar,Nisanu,,Verbos importantes
Vender,Vender,Wabikitane,,Verbos importantes
Trabalhar,Trabajar,Yaotakitane,,Verbos importantes
Falar,Hablar,Dibunu,,Verbos importantes
Dar,Dar,Muaya,,Verbos importantes
Emprestar,Prestar,Enebanu,,Verbos importantes
Arriscar,Arriesgar,Sanetakitane,,Verbos importantes
Voltar,Volver,Bajiki,,Verbos importantes
Machucar,Machucar o hacerse daño,Sitorokitane nonakitane,,Verbos importantes
Levar,Llevar,Kunaru,,Verbos importantes
Trazer,Traer,Kunau,,Verbos importantes
Perguntar,Preguntar,Denoko,,Verbos importantes
Rezar,Rezar / Orar,Aresatakitane,,Verbos importantes
Colocar,Colocar,Abanu,,Verbos importantes
Começar,Empezar / Comenzar,Kuaimo abane,,Verbos importantes
Terminar,Terminar,Yiwaranae,,Verbos importantes
Cair,Caer,Nakae,,Verbos importantes
Lavar,Lavar,Jarakitane,,Verbos importantes
Enganar,Engañar,Imusubuya,,Verbos importantes
Lembrar,Recordar / Acordarse,Obonobukitane,,Verbos importantes
Esquecer,Olvidar,Obonobuna ekoaranae,,Verbos importantes
Data de Nascimento,Fecha de Nacimiento,Ji Naka Katukakore,,Documento
Estado Civil,Estado Civil,Mojo Waranoko,,Documento
Certidão de Nascimento,Certificado de Nacimiento,Karata Adiawara,,Documento
Carteira de identidade,Carnet / Cédula de Identidad,Warao asita,,Documento
Carteira de trabalho,Libreta del Trabajo,Yaota Ajabatanoko,,Documento
Carteira de motorista\nCarnet / Registro / Licencia de \nConducir,Kaperakanawayhäkatömä,Akarata,,Documento
Ferro de passar roupa,Plancha,Jima aiji,,Roupa
